"","id.sample_local_c","oc_usda.c729_w.pct","c.tot_usda.a622_w.pct","n.tot_usda.a623_w.pct","s.tot_usda.a624_w.pct","ph.h2o_usda.a268_index","bd_usda.a4_g.cm3","clay.tot_usda.a334_w.pct","silt.tot_usda.c62_w.pct","sand.tot_usda.c60_w.pct","caco3_usda.a54_w.pct","efferv_usda.a479_class","cec_usda.a723_cmolc.kg","ca.ext_usda.a722_cmolc.kg","mg.ext_usda.a724_cmolc.kg","k.ext_usda.a725_cmolc.kg","na.ext_usda.a726_cmolc.kg","wr.33kPa_usda.a415_w.pct","wr.1500kPa_usda.a417_w.pct","al.dith_usda.a65_w.pct","p.ext_usda.a652_mg.kg","p.ext_usda.a1070_mg.kg","k.ext_usda.a1065_mg.kg","ec_usda.a364_ds.m"
"1","26949",3.2,NA,0.31,NA,5.36,NA,32.4,25.6,42,NA,NA,14.1,10.5,2,0.5,0,NA,14.7,0.4,NA,NA,NA,NA
"2","26950",1.7,NA,0.19,NA,4.32,NA,46.5,25.2,28.3,NA,NA,10.2,3.6,1,0.2,0,NA,14.7,0.4,NA,NA,NA,NA
"3","26951",0.6,NA,0.09,NA,4.42,NA,44.2,32.8,23,NA,NA,7.5,1.7,0.5,0.1,0,NA,17,0.5,NA,NA,NA,NA
"4","26952",0.2,NA,0.06,NA,4.49,NA,40.9,36,23.1,NA,NA,6.6,0.7,0.3,0.1,0,NA,17,0.5,NA,NA,NA,NA
"5","26953",0.2,NA,0.06,NA,4.43,NA,37.9,45,17.1,NA,NA,6.1,0.6,0.2,0.1,0.1,26.3,20.7,0.5,NA,NA,NA,NA
"6","26954",2.1,NA,0.23,NA,6.12,NA,27.3,25.8,46.9,NA,NA,12.3,11.1,1.6,0.8,0,26.3,20.7,0.5,NA,NA,NA,NA
"7","26955",1.1,NA,0.13,NA,4.43,NA,44.9,17.2,37.9,NA,NA,9.9,2.1,0.4,0.3,0,32.2,20.2,0.5,NA,NA,NA,NA
"8","26956",0.8,NA,0.1,NA,4.43,NA,45.9,16.2,37.9,NA,NA,8.6,1.7,0.4,0.2,0.1,32.2,20.2,0.5,NA,NA,NA,NA
"9","26957",0.5,NA,0.05,NA,4.6,NA,27.2,17.6,55.2,NA,NA,6.3,1,0.1,0.1,0,25.4,17.2,0.4,NA,NA,NA,NA
"10","26958",0.4,NA,0.06,NA,4.6,NA,26.5,18,55.5,NA,NA,5.9,0.7,0.1,0.1,0,25.4,17.2,0.4,NA,NA,NA,NA
"11","26959",4.5,NA,0.25,NA,5.53,NA,36.9,47.5,15.6,NA,NA,25.2,7.5,5.6,1,4.3,23.5,11.7,0.4,NA,NA,NA,NA
"12","26960",0.9,NA,0.09,NA,6.09,NA,47.6,43.8,8.6,NA,NA,18.9,3.5,2.8,1.2,7.8,23.5,11.7,0.4,NA,NA,NA,NA
"13","26961",0.3,NA,0.06,NA,6.06,NA,49.5,45.8,4.7,NA,NA,37.5,3.5,3,1.4,10.8,31.7,16.1,0.7,NA,NA,NA,NA
"14","26962",0.2,NA,0.03,NA,5.12,NA,50.3,43.3,6.4,NA,NA,19.2,3.4,5.4,1.1,15.7,31.7,16.1,0.7,NA,NA,NA,NA
"15","26963",0.1,NA,0.04,NA,4.83,NA,50.3,44.8,4.9,NA,NA,18.5,2.8,5.7,1,13.8,30.3,16.6,0.8,NA,NA,NA,NA
"16","26965",1,NA,0.13,NA,4.68,NA,38,29,33,NA,NA,8.1,2,1,0.2,0.1,30.3,16.6,0.8,NA,NA,NA,NA
"17","26966",0.5,NA,0.08,NA,4.65,NA,53.3,32.8,13.9,NA,NA,10,0.8,0.8,0,0,NA,14.2,0.8,NA,NA,NA,NA
"18","26967",1.9,NA,0.19,NA,6.29,NA,11.7,32,56.3,NA,NA,13.3,8.4,3.4,0.1,0.2,NA,14.2,0.8,NA,NA,NA,NA
"19","26968",0.1,NA,0.03,NA,6.26,NA,14.1,31.4,54.5,NA,NA,8,3.2,3.5,0.1,0.3,40.3,13.7,0.7,NA,NA,NA,NA
"20","26969",0.1,NA,0.03,NA,6.3,NA,26,31,43,NA,NA,13.7,4.5,7.8,0.2,0.4,40.3,13.7,0.7,NA,NA,NA,NA
"21","26970",1.3,NA,0.1,NA,6.56,NA,44.2,13.2,42.6,NA,NA,40.6,28.5,10.6,0.1,0.4,27,15.9,NA,NA,NA,NA,NA
"22","26971",0.8,NA,0.07,NA,6.84,NA,46,13.6,40.4,NA,NA,42.1,29.1,10.3,0.1,1.3,27,15.9,NA,NA,NA,NA,NA
"23","26972",0.6,NA,0.06,NA,7.54,NA,51.3,13.4,35.3,NA,NA,45.6,34.1,13.2,0.1,2.1,29.4,19,NA,NA,NA,NA,NA
"24","26973",0.8,NA,0.1,NA,4.62,NA,58.5,27.3,14.2,NA,NA,11.6,2.4,1.4,0.2,0.3,29.4,19,NA,NA,NA,NA,NA
"25","30747",0.52,0.51502,0.02649,0.08266,4.81,NA,49.93611,27.2,22.9,NA,"none",40.87446,6.65037,3.28512,0.88137,0.05342,NA,31.42857,0.62611,NA,NA,NA,NA
"26","36001",0.15,0.15451,0.02046,0,6.37,1.67131,36.05959,45.3,18.6,NA,"none",11.81383,8.93247,3.64782,0.30398,0.18707,NA,11.38298,0.06523,0.96831,NA,NA,NA
"27","36035",1.56,1.56158,0.14823,0.00939,6.65,1.36829,43.8167,53.6,2.6,NA,"none",28.52211,23.22221,3.33789,1.43053,0.21458,NA,25.25597,0.20859,NA,NA,NA,NA
"28","36224",0.8956,0.90996,0.09325,0.01742,7.78,1.17019,21.4639,67.8,10.7,0.11663,"very slight",18.0223,19.65534,1.27418,0.80226,0.14158,NA,11.45475,0.1209,NA,NA,NA,NA
"29","36261",0.38,0.37688,0.04956,0.00723,7.11,1.32571,35.94715,62,2.1,NA,"none",21.80032,17.07017,4.81047,0.44368,0.35028,NA,16.4042,0.18139,NA,NA,NA,NA
"30","36275",0.18,0.17545,0.03677,0.00525,7.05,1.22003,54.0945,42.4,3.5,NA,"none",32.77393,23.09156,7.13476,0.96416,2.16935,NA,24.26901,0.20206,NA,NA,NA,NA
"31","37567",1.03,1.03152,0.1219,0,5.56,NA,37.11869,31.8,31.1,NA,"none",14.33629,5.65994,2.24039,0.09433,0.02358,NA,14.43662,0.3954,NA,NA,NA,NA
"32","37585",0.67,0.66717,0.07923,0,6.79,1.31079,42.00381,52.5,5.5,NA,"none",33.661,22.7347,8.60106,0.55791,0.69738,NA,20.12121,0.16236,NA,NA,NA,NA
"33","37607",0.52,0.52224,0.03251,0.0061,5.38,NA,32.98084,48.6,18.4,NA,"none",8.38439,0.84238,0.37439,0.39779,0,NA,15.56982,0.61402,NA,NA,NA,NA
"34","37667",0.09,0.09216,0.01603,0.001,5.23,NA,0.20209,1.5,98.3,NA,"none",0.43917,0,0,0.23356,0.95759,NA,0.30364,0.0954,NA,NA,NA,NA
"35","38888",0.9536,1.01479,0.14667,0.01618,7.64,1.20007,57.7869,41,1.2,0.46829,"none",39.67343,39.1792,3.50037,1.45016,0.20002,NA,27.84679,NA,NA,NA,NA,0.257
"36","38932",1.4004,1.43949,0.13096,0.01637,7.48,1.50405,21.35714,60.2,18.4,0.33169,"none",15.39662,18.25579,1.47107,0.91641,0.09646,NA,9.29451,NA,NA,NA,NA,0.479
